offense_desc,latitude,longitude,lat_long
KIDNAPPING & RELATED OFFENSES,40.714900392,-74.00227402,(40.714900392, -74.00227402)
KIDNAPPING & RELATED OFFENSES,40.871061129,-73.892484072,(40.871061129, -73.892484072)
KIDNAPPING & RELATED OFFENSES,40.737751751,-73.907439898,(40.737751751, -73.907439898)
KIDNAPPING & RELATED OFFENSES,40.87830113,-73.846008733,(40.87830113, -73.846008733)
KIDNAPPING & RELATED OFFENSES,40.867837421,-73.885294324,(40.867837421, -73.885294324)
KIDNAPPING & RELATED OFFENSES,40.798963998,-73.95031372,(40.798963998, -73.95031372)
KIDNAPPING & RELATED OFFENSES,40.847348744,-73.918134345,(40.847348744, -73.918134345)
KIDNAPPING & RELATED OFFENSES,40.644225174,-73.882086103,(40.644225174, -73.882086103)
KIDNAPPING & RELATED OFFENSES,40.833595456,-73.914971215,(40.833595456, -73.914971215)
KIDNAPPING & RELATED OFFENSES,40.663334191,-73.909114707,(40.663334191, -73.909114707)
KIDNAPPING & RELATED OFFENSES,40.803889605,-73.954091893,(40.803889605, -73.954091893)
KIDNAPPING & RELATED OFFENSES,40.763898934,-73.947906796,(40.763898934, -73.947906796)
KIDNAPPING & RELATED OFFENSES,40.674831051,-73.863617165,(40.674831051, -73.863617165)
KIDNAPPING & RELATED OFFENSES,40.840747435,-73.862893941,(40.840747435, -73.862893941)
KIDNAPPING & RELATED OFFENSES,40.653674996,-73.96278707,(40.653674996, -73.96278707)
KIDNAPPING & RELATED OFFENSES,40.832474479,-73.917184191,(40.832474479, -73.917184191)
KIDNAPPING & RELATED OFFENSES,40.651379322,-73.926436566,(40.651379322, -73.926436566)
KIDNAPPING & RELATED OFFENSES,40.705836709,-73.793961,(40.705836709, -73.793961)
KIDNAPPING & RELATED OFFENSES,40.773492568,-73.912831147,(40.773492568, -73.912831147)
KIDNAPPING & RELATED OFFENSES,40.71845417,-73.937105529,(40.71845417, -73.937105529)
KIDNAPPING & RELATED OFFENSES,40.747985692,-74.000892884,(40.747985692, -74.000892884)
KIDNAPPING & RELATED OFFENSES,40.810763302,-73.964425999,(40.810763302, -73.964425999)
KIDNAPPING & RELATED OFFENSES,40.699945456,-73.922358179,(40.699945456, -73.922358179)
KIDNAPPING & RELATED OFFENSES,40.87054946,-73.865236939,(40.87054946, -73.865236939)
KIDNAPPING & RELATED OFFENSES,40.796341237,-73.941199816,(40.796341237, -73.941199816)
KIDNAPPING & RELATED OFFENSES,40.839401696,-73.846958909,(40.839401696, -73.846958909)
KIDNAPPING & RELATED OFFENSES,40.672204615,-73.876027181,(40.672204615, -73.876027181)
KIDNAPPING & RELATED OFFENSES,40.68668596,-73.786192104,(40.68668596, -73.786192104)
KIDNAPPING & RELATED OFFENSES,40.810545201,-73.854474129,(40.810545201, -73.854474129)
KIDNAPPING & RELATED OFFENSES,40.714943333,-73.816355641,(40.714943333, -73.816355641)
KIDNAPPING & RELATED OFFENSES,40.780570632,-73.948236782,(40.780570632, -73.948236782)
KIDNAPPING & RELATED OFFENSES,40.830236345,-73.852711028,(40.830236345, -73.852711028)
KIDNAPPING & RELATED OFFENSES,40.683345707,-73.985896525,(40.683345707, -73.985896525)
KIDNAPPING & RELATED OFFENSES,40.705515237,-73.798423556,(40.705515237, -73.798423556)
KIDNAPPING & RELATED OFFENSES,40.824130774,-73.869872717,(40.824130774, -73.869872717)
KIDNAPPING & RELATED OFFENSES,40.664552751,-73.890102711,(40.664552751, -73.890102711)
KIDNAPPING & RELATED OFFENSES,40.630682159,-73.97355397,(40.630682159, -73.97355397)
KIDNAPPING & RELATED OFFENSES,40.711380005,-73.968280886,(40.711380005, -73.968280886)
KIDNAPPING & RELATED OFFENSES,40.66051961,-73.883452174,(40.66051961, -73.883452174)
KIDNAPPING & RELATED OFFENSES,40.655984629,-73.872536139,(40.655984629, -73.872536139)
KIDNAPPING & RELATED OFFENSES,40.73595559,-73.933718764,(40.73595559, -73.933718764)
KIDNAPPING & RELATED OFFENSES,40.758999557,-73.834531514,(40.758999557, -73.834531514)
KIDNAPPING & RELATED OFFENSES,40.635259002,-74.089325891,(40.635259002, -74.089325891)
KIDNAPPING & RELATED OFFENSES,40.736158638,-73.87689329,(40.736158638, -73.87689329)
